eventId,title,chains,causedByOrgs,causedByEvents,peopleInvolved,dateStarted,dateEnded,eventType,location,narrative,references
48,Second phase of violence,"Arab Uprising, Palestinian Nationalism",,47,,26-Sep-1937,1-Aug-1939,civil unrest,,"Following Peel Commission's report, voilence resumed again, starting with the assasination of acting District Commissioner of Gallilee. This violence was mainly by the Arabs directed against the British. Jewish extremist groups like the Irgun joined the violence, and did many anti-British and anti-Arab bombings. British attempted to quell the rebels using heavy force and reinforcements from Egypt and England. The AHC and the National Committees were disbanded, and mass arrests ensued. Palestinian leader Hajj Amin al-Husseini fled to Lebanon fearing arrest. The Haganah cooperated with the British closely to counter the violence, which gave the Haganah a lot of on-the-field experience. By the end of the violence, an estimated 5000 Arabs, 300 Jews and 262 Britons were killed. This was a national struggle of the palestinian people, and was the movement that crystallized palestinian nationalism into a single identity, and a single unified movement. The brutality of British methods to quell the rebellion painted them in a very negative light, and caused the Arab population to even strongly desire independence from them. However the uprising also cost the Palestinians dearly. By the end of the violence, the Palestinian Arab military might was greatly weakened, and left a large portions of the countryside in ruins, increased the unemployment rate among Palestinians and caused the best and brightest of their lot to emigrate to escape the fighting. Most Palestinian leaders had either been arrested, or exiled by the end of the revolt. The large scale revolt, however, inflicted damages to the British side which made them re-think the profitability of being in control of Palestine when the Arab sentiment was not in their favour. The brewing storm of war clouds on Europe made it even more urgent for the British to gain favour with the Arabs of the middle east, and it eventually led to the 1939 Command Paper.",http://en.wikipedia.org/wiki/1936%E2%80%9339_Arab_revolt_in_Palestine#Resumed_Revolt_.28September_1937-August_1939.29
42,AHC outlawed and disbanded,"Arab Uprising, Palestinian Nationalism",British,48,Hajj Amin al-Husseini,27-Sep-1937,,political development,,"When the British District Commissioner was assasinated in Galilee, British authorities immediately outlawed the AHC and began to arrest its members. Many other Arab political parties were also disbanded. To escape arrest, Haj Amin al-Husseini escaped to Lebanon, and then to Iraq and Egypt.",http://en.wikipedia.org/wiki/Arab_Higher_Committee#Formation_-_1936-37
5,Cairo Conference,Post World War 1 Treaties,"British, Jordan","28, 29, 1, 90","King Faisal, King Abdullah",12-Mar-1921,,diplomacy,Cairo,"The Cairo Conference was convened to resolve the conflicting promises in the Sykes-Picot agreement, McMohan Letters and the Balfour Declaration. Revolts were already breaking out in erstwhile Mesopotamia against British presence, and Arab leaders were already pressing the British to make good on their promises. Due to the finiancial burden of the Mesopotamian revolt, and due to continued lobbying by the Emir Faisal via Lieutenant Colonel Lawrence the Mandate of Mesopotamia was ended, and Emir Faisal (who had recently been expunged from Syria by the French) was named King Faisal of Iraq. The region of the british mandate of Palestine east of the Jordan river was separated into an independent British protectorate of Trans-Jordan, and Abdullah Ibn Al-Hussein (another on of Hussein bin Ali) was installed as the emir of Transjordan. This exclusion of Trans-Jordwan was later formally announced as part of the Transjordan Memorandum in 1922.","http://en.wikipedia.org/wiki/Cairo_Conference_(1921), http://en.wikipedia.org/wiki/Transjordan_memorandum"
28,McMohan-Hussein Correspondence,"World War 1, Arabs in World War 1","British, Arabs",69,Hussein bin Ali,1-Oct-1915,,diplomacy,Cairo,"Since the Ottoman Empire had declared alliance to the Central bloc, the British seeked to establish better tactics against the Ottomans in their middle eastern campaigh. They sought to enter into an agreement with the Arabs, and encourage them to revolt against the Ottoman rulers in order to weaken the Ottomans. In a series of letters to Hussein bin Ali (the Sharif of Mecca), the British agreed to support the formation of an independent Arab state in return for their support against the Ottoman regime. However, the nature and extent of such a state was kept deliberately ambiguous, possibly due to their ulterior intentions (which they later committed to with the French as part of the Asia Minor Agreement).","http://en.wikipedia.org/wiki/McMahon_letters, http://en.wikipedia.org/wiki/McMahon%E2%80%93Hussein_Correspondence"
29,Sykes-Picot Agreement (Asia Minor Agreement),World War 1,"British, French",,Mark Sykes,16-May-1916,,diplomacy,,"This agreement, officially known as the Asia Minor agreement was a secretly negotiated deal between France and England, with the assent of Russia. Even before the end of the war, the entente powers came to an agreement about the fate of the land in the middle east that belonged to the Ottoman empire at the time. The agreed upon territorial allocation was as follows: Britain would assume control of roughly present day Israel, Palestine, Jordan and Iraq; France would posess present day Syria and south-eastern Turkey, while Russia would control the Turkish straits, Istanbul and the rest of present day Turkey. This agreement was directly in conflict with the promises that British diplomats had made to the Arabs in the McMohan letters. Eventually the conflict of interest was resolved as part of a series of negotiations between the involved parties. Russia, of course, never realized its control over the territory due to the Russian revolution that dismanted the autocracy that actually assented to the agreement. Instead, a Turkish revolution occurred which later ended in founding of independent Turkey in the area that was assigned to Russia.",http://en.wikipedia.org/wiki/Sykes%E2%80%93Picot_Agreement
52,Bar Giora formed,Evolution of Haganah,,,,1-Sep-1907,,org founded,,Bar giora was a small defence group originally meant to protect and defend a couple of Jewish settlements from attackers and theives. It was one of the first organized Jewish self defence groups in Palestine.,http://en.wikipedia.org/wiki/Bar-Giora_(organization)
53,Hashomer was formed,Evolution of Haganah,,,,1-Apr-1909,,org founded,,"The leaders of Bar Gioria decided to expand their self defence organization into a larger one called Hashomer. This was the first attempt to provide defences for all Jewish settlements in Palestine. They acquired guns for use in self defence. However, their rules of engagement still maintained their status as a guard organization that preferred defence and protection over offence and attack.",http://en.wikipedia.org/wiki/Hashomer
54,Nebi Musa Riots,Riots in Palestine,,32,Hajj Amin al-Husseini,4-Apr-1920,,civil unrest,,"In Damascus, the The Arab Kingdom of Syrian had just been proclaimed, it laid claim to the British mandated Palestine as its territory too. Historically, the people of Palestine and Syria considered themselves to be a single people (even the leading newspaper in Palestine was named Suriyya al-Janubiyya, which means Southern Syria). As a result, Arab nationalist sentiments were running high in both Palestine and Syria. When a large number of Arabs had gathered in Nebi Musa to celebrate the Arab festival of Nabi Musa, Palestinian Arab nationalist leaders including Hajj Amin al-Husseini and his uncle Musa al-Husseini delivered incendiary anti-Zionist speeches. Riots soon broke out in the old city of Nebi Musa. Martial law was enforced immediately and it took 4 days to subdue to the violence. Haj Amin al-Husseini was arrested and then released on bail. On the demand of Palestinian leaders, the houses of Chain Weizmann and Ze'ev Jabotinsky were searched. Ze'ev Jabotinsky had been training a large number of volunteers in self defence, and firearms were found at his house. He was sentenced for one year.",http://en.wikipedia.org/wiki/1920_Nebi_Musa_riots
55,Jaffa riots,Riots in Palestine,,,,1-May-1921,,civil unrest,,"In May 1921, a clash between two Jewish groups marching in support of creating a ""Soviet Palestine""  was misinterpreted as attacks on Arabs, and it set off a series of attacks on Jewish settlements by Arabs. The British immediately deployed their forces and tried to quell the violence. The episode left 47 Jews and 48 Arabs dead. Most Arab casualties resulted from clashes with British forces attempting to restore order. As an aftermath, the mayor of Jerusalem was dismissed. His nephew Haj Amin Al-Husseini was appointed the new Grand Mufti of Jerusalem.",http://en.wikipedia.org/wiki/Jaffa_riots
56,Haganah formed,"Evolution of Haganah, Zionism",,"54, 55",,1920,,org founded,,"Following the 1920 Nebi Musa riots, Jewish leadership lost faith in the British for their protection, and created an underground military organization. The aims of this organization was more expanded than its predecessor Hashomer. Instead of only focussing on guarding the settlements, their aim was to warn and defend the residents of the settlements against Arab attacks. the groups now Up until 1929, their main task was guarding farms and settlements. Their main policy was ""havlagah"", or restraint - to only defend, and to not counter-attack civilians. After the 1939 Command paper that restricted Jewish immigration into Palestine, they also helped european jews to illegally emigrate into Palestine.",http://en.wikipedia.org/wiki/Haganah
18,Haganah reorganized and strengthened,Evolution of Haganah,,"35, 27",,1929,,uncategorized,,"Until 1929, the Haganah was relatively a loosly bound conglomeration of defence groups that were not very heavily armed. However after the 1929 Palestine riots, the Haganah  dramatically reorganized, involved nearly all the youth, and militarized heavily and created a well defined command structure. Part of this reorganization can be attributed to the work of the Jewish Agency, whose better organizational structure enabled them to coordinate the actions of Haganah more effectively.",http://en.wikipedia.org/wiki/Haganah
57,Irgun Split,"Evolution of Haganah, Revisionist Zionism",,24,,1931,,org founded,,"Many Haganah members were against their policy of restraint or ""havlagah"", as they viewed the policy to be defeatist. The increasing control of the Jewish political leaders after the establishment of the Jewish Agency made these members perceive a steady decrease in their ability to act freely. So they split up to form a separate group called the Irgun. They were disciples of Jabotinsky's paradigm of Revisionist Zionism, which advocated active use of violence and military power to deter the Arabs and set up a Jewish State in Palestine. Eventually Irgun was merged with Haganah again after 1948 to form the Israeli Defence Forces (IDF). They also led to the formation of the Herut political party, which marged with several right-wing parties later to form today's Likud party.","http://en.wikipedia.org/wiki/Irgun, http://en.wikipedia.org/wiki/Haganah#1931_Irgun_split, http://en.wikipedia.org/wiki/Havlagah"
58,Lehi split,"Revisionist Zionism, Evolution of Haganah",,51,,1-Aug-1940,,org founded,,"During 1939, the Jewish Agency decided to declare truce with the British so as to not disrupt their efforts during WW2, and by 1940, Irgun also agreed to the same. However there were a subset of Irgun members who believed it was was necessary to continue fighting the British even in this time of war.To this end, Avraham ""Yair"" Stern spun off a new group called Lehi (Hebrew acronym for Fighters for the Freedom of Israel), later became infamous as the Stern Gang. Their dogma was to use any method possible to immigrate more Jews into Palestine and to use violence against both British and Arabs to drive out the British and help set up a Jewish Nation in Palestine.",http://en.wikipedia.org/wiki/Lehi_(group)
60,Emergency Immigration Act passed in US,US Influence,US,,,19-May-1921,,uncategorized,US,"The US passed Emergency Immigration Act, which restricted european immigration into US to at max 3% of the total population. This restricted the immigration of Jews from eastern Europe into Americas severely, and led to increase of immigration to Palestine instead.",http://immigrationinamerica.org/589-immigration-act-of-1921.html
61,Jewish National Fund founded,Zionism,WZO,17,Theodor Herzl,15-Mar-1905,,org founded,,"After the formation ZO, Herzl convened a Zionist congress every year to revise/discuss the policies of ZO, and to convey updates of the work ZO had been doing over that year. During the fifth Zionist congress, Herzl supported an idea that had been put forward previously - the idea of setting up a separate fund of money with which to purchase land in Palestine for use by migrants to the land. ","http://en.wikipedia.org/wiki/Jewish_National_Fund, http://en.wikipedia.org/wiki/World_Zionist_Congress"
33,Faisal-Clemenceau negotiations,Post WW1 Middle East,"French, Arabs","62, 71",King Faisal,6-Jan-1920,,diplomacy,,"While there were many strong Syrian nationalist movements under way demanding Syria's right to exist as an independent nation under Faisal's (son of Hussein bin Ali) rule, other post world war 1 negotiations were solidifying plans to establish Syria as a mandate under the League of Nations. Faisal was forced to negotiated the terms of independence of Syria with the French prime minister Clemenceau. The french agreed to recognize independent Syria without French troops occupying it as long the French government remained the only government supplying advisors, counselors and technical experts.",http://en.wikipedia.org/wiki/Franco-Syrian_War
45,Arab Strike Called Off,Arab Uprising,AHC,46,,11-Oct-1936,,diplomacy,,"The strike was finally called off after the Arab leaders (AHC and other Palestinian political leaders) were promised that their demands would be catered to by a Royal Commission. The British also employed the persuation of other Arab nations in the neighbourhood namely Transjordan, Iraq, Saudi Arabia and Egypt.  The violence prevelant during the riots started to abate after the strike was called off, but this would turn out to be only a temporary lull in the uprising.",http://israelipalestinian.procon.org/view.answers.php?questionID=000506
46,Peel Commission formed,"Partition of Palestine, Arab Uprising",British,43,,18-May-1936,,diplomacy,,"The violence that broke out in 1936 could not be subdued by the British using force. Meanwhile the political climate of Europe indicated the possibility of war with Germany again, and British needed to goodwill of Arabs to retain an uninterrupted supply of oil in case of a war. Hence they fell back to a political solution for this, and announced that a Commission will be formed to address the demand of the Arab Higher Committee, and to investigate the causes of the violence. The objective was to come up with a solution which would appease both the Jews and the Arabs in Palestine.","http://en.wikipedia.org/wiki/Peel_Commission, http://en.wikipedia.org/wiki/1936%E2%80%9339_Arab_revolt_in_Palestine#Peel_commission"
66,May Laws in Russia,Antisemetism in Europe,Russian Autocracy,"67, 13",,15-May-1882,,antisemetism,,"Anti-semetic legislation was passed due to belief that Jews were somehow responsible for the assassination of Alexander II. These laws severly curbed the financial and social freedoms of Jews living in the Pale of Settlement, a portion of western Russia where the majority of Russian Jews resided.",http://en.wikipedia.org/wiki/May_Laws
67,Alexander II of Russia killed,,,,,13-Mar-1881,,civil unrest,,The Tsar of Russia Alexander II is assassinated by terrorist groups in Russia who were demanding freedom from autocratic rule. ,http://en.wikipedia.org/wiki/Alexander_II_of_Russia#Assassination
69,Ottomans join Central Powers,World War 1,Ottomans,,,2-Aug-1914,,war,,"Shortly after the outbreak of World War 1, the Ottoman and German empires entered into an alliance. The Germans promised to modernize the military of the ailing Ottoman Empire, while Germany gained passage into the middle east and further to India via the Ottoman Empire. ",http://en.wikipedia.org/wiki/Ottoman%E2%80%93German_alliance
47,Peel Commission's report released,"Partition of Palestine, Arab Uprising",British,46,,7-Jul-1937,,diplomacy,,"The Peel Commission deliberated for a little over a year, and eventually published its findings. The report concluded while the British Mandate had assumed that the Palestinian population will realize that Jewish immigration would bring material benefits to all, never materialized into reality. The report concluded that the Palestinian indiginious population was antagonistic towards Zionists and their designs in Palestine. They perceived the Zionist immigrants as a threat to their people, and that the root of the violence lied in the Arab national desire to be independent of their influence in the political sphere. The report suggested, as a solution, partitioning palestine into a 20% Jewish state, and remaining Arab state based on the current Jewish population and land ownership. However, HAC outright rejected it, and demanded for a full Arab state and withdrawal of the Balfour declaration. Jewish Yishuv agreed to the petition but with minor resistance about the land allocated to them. The Labor Zionists, under the leadership of Chaim Weizmann and David Ben-Gurion, accepted the proposal after initial hesitation and maintained that this plan would be the basis of further negotiations on the subject.",http://en.wikipedia.org/wiki/Peel_Commission
72,French capture Syria - the Franco-Syrian War,Post WW1 Middle East,French,34,King Faisal,1-Aug-1920,,war,,"After the San Remo conference, all French claims in Syria were legetimized. Until now, they had been hamstrung by the lack of diplocatic leverage in the area. However after San Remo, the French steadily increased their military presence in Syria. After several attempts at forging peace with Faisal, the French army eventually attacked Damascus, regained control, installed a French supported arab government and deposed King Faisal.","http://en.wikipedia.org/wiki/Franco-Syrian_War, http://www.highbeam.com/doc/1G1-13974397.html, http://www.syriawide.com/franceinsyria.html"
73,Allied powers are running out of steam,World War 1,,77,,1-Dec-1916,,war,,"By the end of 1916, the allied forces had sufferred a large number of setbacks. The unsuccessful and hugely cost Gallipoli campaign in the Dardanelles, the military deadlock in France, the growing threat of German submarines and diminishing Russian contribution to the allied cause (due to growing unrest in Russia against the Russian Autocracy) had been troubling the morale of the allied military leadership. While the war had started with the Allies being clearly stronger than the central powers, now their forces were almost evenly matched, while at the same time the central powers were better positioned strategically. By now, the support of the US in the war was found increasingly wanting.","http://www.ihr.org/jhr/v06/v06p389_John.html, War Memoirs by Lloyd George 1915-1916 p 434 (http://www.on-island.net/History/LLoyd-George/v2.pdf)"
74,Jewish influence become more powerful in US,US Influence,,,,1-Jun-1916,,political development,,"Louis D. Brandeis, a leading advocate of Zionism, had been inducted as Associate Justice of the Supreme Court on 5 June 1916, and was the President's advisor.","http://www.ihr.org/jhr/v06/v06p389_John.html, http://en.wikipedia.org/wiki/Louis_Brandeis#Nominated_to_the_Supreme_Court"
75,Lloyd George becomes Prime minister of Britain,British Influence,,,,7-Dec-1916,,political development,,"Lloyd George was a Zionist sympathizer, and had been in touch with the Zionists since at least 1903 when he was acting as legal counsel to the Zionists. He now succeeded H.H. Asquith, who was never a symphathizer of the Zionist cause. Under Lloyd George's leadership, the relationship between the British and the Zionists progressed fast.","The Balfour declaration - by Leonard Stein 1961 pp 27, Two Studies in Virtue - by Christopher Sykes pp 187, http://www.ihr.org/jhr/v06/v06p389_John.html#ftnref109"
49,Woodhead Commission,Partition of Palestine,British,48,,1-Feb-1938,1-Aug-1938,diplomacy,,"While the fresh violence made it clear to the British government that a partition would not be well received with Arabs of Palestine, they set up a commission to investigate the feasibility of the Peel plan of partition. The Woodhead commission reported that the partition as proposed was impractical based on economic and financial grounds, and due to the large population transfer it would involve. It proposed three other plans of partition, and another modified parititon based on a political union of two separate economic regions under British mandate. All plans were however found infeasible, and suggested that Arab-Jewish cooperation may still be possible.",http://en.wikipedia.org/wiki/Woodhead_Commission
77,The Gallipoli Campaign,World War 1,"British, Ottomans",69,Edmund Allenby,25-Apr-1915,,war,Gallipoli,"By the end of 1914, the war on the western front with Germany had become a stalemate. Due to this, no overland route was available to supply the Russian forces. However the entry of the Ottoman empire on the side of the central powers meant that the naval route via the Dardanelles straits was also now closed. It was suggested that a campaign should be launched to capture the straits and surrounding areas from the Ottomans. The whole campaign involved joint naval and land operations by the British, French and British commonwealth forces from Australia, New Zealand and British India. The campaign however was a failure, and the British were forced to retreat to Egypt and attempt a different approach to attacking the Ottomans.",http://en.wikipedia.org/wiki/Gallipoli_Campaign
50,London Conference,Partition of Palestine,British,,"David Ben-Gurion, Chaim Weizmann",7-Feb-1939,17-Mar-1939,diplomacy,London,"At this point in time, the British were realizing that their mandate over Palestine was not benefitting their interests substantially. The shadow of upcoming war in Europe made the British want to hurry up their efforts in brokering peace in Palestine so as to retain the good will of Arabs. On the same day when the Woodhead Commission released its report, the British government announced that it wished to end its mandate in Palestine and would continue ruling only until a regime had been established. In an effort to broker some peace between the Arabs and Jews in Palestine, Britain  invited the Palestinian Arabs, representatives from neighbouring Arab countries (Egypt, Iraq, Saudi Arabia, Yemen and Transjordan), the Jewish Agency (David Ben Gurion) and WZO (Chaim Weizmann) for discussions. This conference, for the first time, internationalized a conflict that the British had been trying to handle as an internal affair for so long. During the proceedings, the Arab leaders refused to meet together with Zionist ones, and separate meetings with convened with both. The Arabs demanded and end to Jewish immigration, no ""Jewish National Home"" in Palestine and independence from the Mandate. Meanwhile the Zionists demanded the mandate to stay in place, equal status for Jews in Palestine and for immigration to continue. The conflicting demands were represented in a compromise in the 1939 MacDonald Paper. Two days before the resolutions from the conference were announce, Hitler had started his march on Czechoslovakia, which definitely sped up the process of reaching the compromise.",http://en.wikipedia.org/wiki/London_Conference_(1939)
51,1939 MacDonald White Paper,Partition of Palestine,British,48,David Ben-Gurion,23-May-1939,,diplomacy,,"This was the outcome of the London Conference. It reversed the Peel Plan partition and laid out three tenets: Jewish Immigration limited to 75000 over the next 5 years and then completely stopped, transfer of land to Jews to be regulated to prevent Arab landlessness, and a promise to establish an independent representative govt at the end of 10 years. Arabs refused to accecpt the legitimacy of the paper, and so did the Zionists. The Arabs refused to allow Jewish participation in the proposed national government, while Jews rejected it due to restrictions in immigration, especially in light of Nazi activities in Europe. Extremist Zionist groups like the Irgun and Stern Gang continued their attacks on the British. However the Jewish Agency declared a truce with the British at that point in time since it did not wish to disrupt their war effort against Germany. Irgun, too, ceased their attacks by 1940. The Haganah even deployed their forces alongside British police to suppress Stern Gang activities. Famously, David Ben-Gurion declared ""we shall fight the war like there was no paper, and we shall fight the paper like there was no war"".",http://en.wikipedia.org/wiki/White_Paper_of_1939
62,Conference of London,Post World War 1 Treaties,"British, French",65,,12-Feb-1920,,diplomacy,,"This was a meeting between British, French and Italian diplomats, and they reaffirmed the territorial divisions agreed to at the Paris Peace Conference, and the decisions taken in this meeting formed the basis of the conclusions reached in the San Remo Conference",http://en.wikipedia.org/wiki/Conference_of_London_(1920)
82,US declare war against Germany,"World War 1, US Influence",US,"80, 81, 74",,1-Apr-1917,,war,,"Many factors led to the US joining the world war. One the one hand, Germans had started unrestricted submarine in the Atlantic and had been sinking any ship that approached the coast of Britain in an effort to prevent the US from supplying them with arms and munitions. On the other hand, there was continued diplomatic efforts from the British. Further, since Russia had withdrawn from the war after its monarchy was overthrown, the anti-Russian sentiment was no longer preventing them from assisting the Allies. Although they declared war now, they were involved in the frontlines actively only starting much later (late 1917 to 1918).","http://en.wikipedia.org/wiki/American_entry_into_World_War_I, http://en.wikipedia.org/wiki/United_States_campaigns_in_World_War_I"
83,"Third Battle of Gaza, and the capture of Jerusalem",World War 1,British,"87, 77","Mark Sykes, Edmund Allenby",11-Dec-1917,,war,,"After the failure of the Gallipoli campaign, the British attempted attacking the Ottomans via their southern border through Egypt. The British forces built a way thorugh the Sinai desert, and attacked the cities in the souther reaches of Palestine (Gaza and Beersheba), but to no avail. After two failed attempts at breaching the Turkish line between Gaza and Beersheba by General Archibald Murray, the War Office appointed General Edmund Allenby as the new commander of the Egyptian Expeditionary Force (EFF). At this time, the diplomat Mark Sykes was also stationed in Egypt, and he advised Allenby of the strategic importance of Palestine. The Arab Revolt's victory at Aqaba left the Ottomans little leverage south of Beersheba. Allenby reinforced his troops, and took advantage of the weakened Turkish position. He took advantage of this, and broke the Turkish line of defence, and marched north all the way to Jerusalem where he crushed the resistance to take over the city.","http://en.wikipedia.org/wiki/Third_Battle_of_Gaza, http://en.wikipedia.org/wiki/Battle_of_Jerusalem_(1917)"
63,San Remo Conference,Post World War 1 Treaties,"British, French","62, 71, 34, 29, 1",,19-Apr-1920,,diplomacy,,"This conference was hastily held after an independent Arab Kingdom of Syria was declared. This conference re-affirmed the Mandates system proposed in the 1919 Paris Peace Conference, as well as the French and British boundaries negotiated in the 1920 Conference of London. At also made provisions for a Jewish National Home in Palestine as declared earlier by the British as part of the Balfour Declaration.",http://en.wikipedia.org/wiki/San_Remo_conference
86,The Spring Offensive,World War 1,"British, French","82, 81",,21-Mar-1918,,war,,"The Germans had realized that winning the war against the Allies would need quick action before the US could fully deploy its overwhelming resources. The Russian exit from the war also large number of German troops to be now re-engaged on the Western Front. The mission was initially a great success whereby Germans gained a lot of ground. However, lack of strategy and poor supply and reinforcement led to them not being able to maintain their advance. This attack however resulted in Britain bringing large number of troops from Palestine, thus leaving General Allenby unable to progress any further from Jerusalem.",http://en.wikipedia.org/wiki/Spring_Offensive
87,Aqaba is captured by the Arab Revolt,Arabs in World War 1,Arabs,31,"King Faisal, T.E. Lawrence",6-Jul-1917,,war,,"The Arab Revolt, led by Emir Faisal and advised by a the British Captain T.E. Lawrence, attacked the port town of Aqaba by crossing the Nefud desert. Aqaba was a strategic port for the Ottoman forces, and its capture by the Arab Revolt was a great morale booster for the British. Subsequently the Arabs were resupplied with more armaments via this port.",http://en.wikipedia.org/wiki/Battle_of_Aqaba
88,Battle of Megiddo,World War 1,British,"89, 83",Edmund Allenby,16-Sep-1918,,war,,"General Allenby was able to reinforce his troops during the summer of 1918 following end of the German Spring Offensive on the Western Front. With minor support from the Arab revolt, he launched a powerful British northward offensive, breaking the Ottoman line of defence and capturing Nablus, Amman and Damascus over the course of 10 days. A smaller force ventured further north from Damascus to capture Aleppo. Attempts to progress further north were resisted by the Turks. This battle left the Ottoman forces in an indefensible position.",http://en.wikipedia.org/wiki/Battle_of_Megiddo_(1918)
89,Hundred Days Offensive,World War 1,"British, French",82,,8-Aug-1918,11-Nov-1918,war,,"This was a series of offensives by the Allied forces together with large number of American troops now stationed in France. Over the course of about these hundred days, the Allied forces completely overwhelmed the German troops on multiple fronts, forcing them to retreat fast, often having to leave behind equipment and supplies. The hostilities came to and end with an armstice being signed (Armstice of Compiègne).",http://en.wikipedia.org/wiki/Hundred_Days_Offensive
90,Iraqi Revolt against the British,Post WW1 Ottoman Empire,,63,,1-Jun-1920,,civil unrest,,"During the World War, the British had attacked Ottoman territories in erstwhile Mesopotamia in order to divert their attention from the middle eastern front near present day Turkey. After the defeat of the Ottoman empire, the British were awarded with the Mandate of Mesopotamia during the San Remo conference. This led to mass demonstrations against the British mandate, which was perceived to be a form of Imperial rule. Eventually, armed revolt broke out and it caused loss of life in large numbers both to the Iraqis and to the British, who eventually subdued the revolt.","http://en.wikipedia.org/wiki/Iraqi_revolt_against_the_British, http://en.wikipedia.org/wiki/Mesopotamian_campaign"
65,Paris Peace Conference,Post World War 1 Treaties,"British, French","91, 84",,18-Jan-1919,,diplomacy,,"After the end of all fighting in World War 1, both German and Ottoman forces had surrendered. This was a conference by the Allied powers to decide the terms of peace for the defeated Central powers.","http://en.wikipedia.org/wiki/Paris_Peace_Conference,_1919"
71,League of Nations formed,Post World War 1 Treaties,"British, French",65,,28-Jun-1919,,diplomacy,,"During the Paris Peace Conference, the Allies came up with a legal structure wherby control of former territories of the Central powers could be transferred into the control of the Allies. The exact territorial allocations were finalized in subsequent treaties. The League of Nations Covenant simply served the purpose of legitimizing such transfer of control.","http://en.wikipedia.org/wiki/League_of_Nations_mandate, http://en.wikipedia.org/wiki/Covenant_of_the_League_of_Nations"
93,Rise of Nazi Power in post WW1 Germany,,Germans,,,30-Jan-1933,,political development,,"At the end of WW1, Jews in Germany were the most assimiliated in society compared to any other European country. The social tensions in Germany after the war led to a socialist revolution, which forced the Kaiser monarchy to abdicate, and left Germany in the hands of a new Weimar Republic government run by Social democrats. During their rule, the country faced many economic hardships which caused it to lose face. The Nazi party opposed the government due to their communist affinities. Apart from the Nazis, many other groups criticized  the economic consequences of the Social Democrats. Hitler's Nazi Party slowly came to power and eventually overcame the ruling party. Adolf Hitler became the Chancellor in 1933, and consolidated power as a dictator by 1934. In Nazi Germany, Hitler embraced racial antisemetism on a large scale. He spread social Darwinistic propaganda, claiming that the Jews were an inferior race that must be erased. He also strengthened the ""stab in the back"" myth, which alleges that the Jews were responsible for Germany's defeat in WW1 (a subject which was still very emotionally charged for the German people). This was unlike the cultural antisemetism that rest of Europe had witnessed. This was a racially charged motive, and Hitler used his power during the Second World War to bring a ""Final Solution"" the Jewish question using by means of a holocaust.","http://en.wikipedia.org/wiki/Nazism, http://en.wikipedia.org/wiki/Stab-in-the-back_myth, http://en.wikipedia.org/wiki/Social_Darwinism#Nazi_Germany, http://en.wikipedia.org/wiki/Nuremberg_Laws, http://en.wikipedia.org/wiki/Aftermath_of_World_War_I#Germany, http://en.wikipedia.org/wiki/Haavara_Agreement"
85,Second World War (and its influence on Palestine),World War 2,Germans,93,,1-Aug-1939,1-Feb-1945,war,,"The war period was relatively quiet in Palestine, and actually was a time of economic growth. The Jewish immigration had dropped off, which reduced imminent tensions. Most palestinian leaders had been exiled or arrested after the Great Revolt. Many Jewish volunteers joined the British army's Jewish Brigade, which was deployed during the war in various campaigns. Meanwhile, factory production grew by 200% for Jewish owned factories, and 77% for Arab owned factories. The overall acricultural production grew by 30%, and the increase in prices of food products (due to unrestricted submarine warfare in the mediterranean se which restricted imports) increased both volume and revenue for local producers. The stationing of British troops in Palestine only increased the demand for food items. All these circumstances, for once, enabled Palestinian peasants to pull themselves out of debt. This period came to be known as ""The Prosperity"" by Palestinians later.","Gelvin J. (2005) The Israel-Palestine Conflict - One Hundred Years of War p120"
79,Harrison Report,US Influence,,,,24-Aug-1945,,uncategorized,,"Earl Harrison was an American academician and lawyer. He was assigned by the US president to investigate the situation of Jewish displaced people (DPs) following the end of WW2 when the allies discovered concentration camps. He studeied the situation for 2 months, and submitted his report, which described the deplorable condition in which the DPs had to continue to live despive the end of the world war. He noted that majority of these people either did not have a home to go back to, or were unwilling to return due to fear of further antisemetic discriminition. He recommended that resettlement of 100,000 Jewish displaced people in Palestine would be a straightforward solution the problem of DPs. This increased pressure on the British to maintain peace in Palestine, since such a resettlement proposition would be opposed by the Arabs in Palestine at all cost.",http://en.wikipedia.org/wiki/Earl_G._Harrison#Harrison_Report
97,"End of WW2, and start of Zionist Insurgency",Post WW2 Palestine,"Irgun, Lehi",51,,1-Feb-1944,,civil unrest,,"As long as the spectre of Germany loomed large, the Jewish paramilitary forces refrained from attacking the British in Palestine. However by the end of 1943, German retreat had started in the earnest, and with this, Jewish armed groups started changing tack. At this time the 10-year period definied by the 1939 Command Paper (after which Palestine would be granted autonomous governmnet) was on the horizon, necessitating urgent action on both the Zionist and Arab sides. In Feb 1944 Irgun and Lehi decided to end their truce and resume insurrection and attacks against the British. The Haganah, too, had joined them briefly in the interim. By June 1947 the British law enforcement had suffered 103 dead and 391 wounded by Zionist militancy. The Jewish Agency criticised the actions of Irgun and Lehi.",http://en.wikipedia.org/wiki/Jewish_insurgency_in_Palestine#During_World_War_II_.281939-1944.29
